time_d,T_r000,T_r010
1.0,19.91005920930443,12.577139729137725
2.0,19.998549480507897,13.783557940166414
3.0,19.999802273545487,15.23215258271163
4.0,19.999879406732628,16.564103332112513
5.0,19.99990049571856,17.617964268672747
6.0,19.999909334887896,18.38139630421437
7.0,19.999914175866664,18.906767119841582
8.0,19.99991746138427,19.25823298742922
9.0,19.999920069246546,19.490197504659115
10.0,19.999922344506142,19.64267719775569
11.0,19.99992439525233,19.74312523430957
12.0,19.99992627650768,19.809711390741864
13.0,19.99992808343656,19.85425137554912
14.0,19.99992980290236,19.884376125692494
15.0,19.99993144514281,19.9050118066826
16.0,19.999933017212513,19.91934979443134
17.0,19.999934524212314,19.929469968622115
18.0,19.999935970123076,19.936737923527563
19.0,19.999937358306607,19.942057708087578
20.0,19.999938691704052,19.946033047976023
21.0,19.999939972990298,19.949070710400058
22.0,19.999941249899965,19.951447213097815
23.0,19.999942431978987,19.953352197826963
24.0,19.999943569553988,19.95491687457777
25.0,19.99994466412281,19.956232810570025
26.0,19.999945717653198,19.95736445672106
27.0,19.999946732001725,19.958357566859185
28.0,19.99994770894374,19.95924490005108
29.0,19.99994865015929,19.96005011544301
30.0,19.999949557251163,19.960790450994757
31.0,19.99995043174389,19.961478581767302
32.0,19.99995127508773,19.96212391631672
33.0,19.99995208866064,19.96273350943112
34.0,19.9999528737765,19.963312707200284
35.0,19.99995363169304,19.96386560766859
36.0,19.999954363584216,19.964395390281148
37.0,19.999955070586488,19.9649045542
38.0,19.999955753779247,19.965395090756182
39.0,19.999956414183863,19.965868609882808
40.0,19.99995705277834,19.966326432206078
41.0,19.99995767048845,19.966769657941065
42.0,19.999958268198892,19.967199217072867
43.0,19.9999588467523,19.967615907533606
44.0,19.999959406948218,19.968020423627276
45.0,19.999959949551187,19.96841337743377
46.0,19.999960475287818,19.968795315033994
47.0,19.999960984850293,19.969166729284932
48.0,19.999961478900918,19.96952806897182
49.0,19.999961958065334,19.969879746429864
50.0,19.999962422945973,19.97022214334013
51.0,19.999962874115525,19.97055561528221
52.0,19.99996331211701,19.970880495178562
53.0,19.99996373747394,19.971197096351997
54.0,19.999964150679297,19.971505714597548
55.0,19.99996455221072,19.971806630324785
56.0,19.99996494251651,19.9721001097986
57.0,19.999965322032395,19.9723864067305
58.0,19.99996569116925,19.97266576311354
59.0,19.999966050318623,19.9729384101234
60.0,19.999966399858813,19.973204569045276
61.0,19.99996674014998,19.973464451884123
62.0,19.999967071534407,19.973718261929925
63.0,19.999967394341123,19.973966194242873
64.0,19.999967708884487,19.97420843623856
65.0,19.999968015464038,19.97444516791358
66.0,19.99996831436826,19.97467656244429
67.0,19.999968605870944,19.974902786314566
68.0,19.999968890236282,19.975123999823754
69.0,19.99996916771535,19.975340357224336
70.0,19.999969438549932,19.975552007105172
71.0,19.999969702970695,19.975759092585257
72.0,19.999969961199064,19.97596175154795
73.0,19.99997021344715,19.97616011694661
74.0,19.999970459917666,19.976354316858934
75.0,19.99997070080622,19.976544474883987
76.0,19.999970936300052,19.976730710177527
77.0,19.999971148079254,19.976913137338652
78.0,19.999971372796725,19.9770918680723
79.0,19.99997159351368,19.977267008912946
80.0,19.999971809539108,19.97743866298919
81.0,19.999972020984718,19.97760693005123
82.0,19.999972227994473,19.97777190637714
83.0,19.999972430708024,19.977933684952383
84.0,19.99997262926116,19.9780923555565
