time_d,T_r000,T_r010
1.0,19.90989772732678,12.293528553843032
2.0,20.001891342061867,13.23106479531026
3.0,20.003639862108685,14.435386909075703
4.0,20.003917673045805,15.639972175769117
5.0,20.004031853229435,16.689943660244296
6.0,20.004088451715006,17.53531283570868
7.0,20.004120331903323,18.182700717445357
8.0,20.0041403875195,18.66505702549688
9.0,20.004154264133376,19.01834816308144
10.0,20.00416465731996,19.274334100375484
11.0,20.004172944850097,19.459057288190877
12.0,20.004179874899023,19.592444755968756
13.0,20.004185864948226,19.689040864417564
14.0,20.004191175657752,19.759308679652065
15.0,20.0041959823439,19.81071070157725
16.0,20.00420039128909,19.84855319664223
17.0,20.004204475690585,19.876610840598573
18.0,20.004208287050574,19.89757009822
19.0,20.0042118602928,19.913350748475636
20.0,20.004215226217013,19.925330537678008
21.0,20.004218408522092,19.934503173968892
22.0,20.004221426163213,19.941589461106616
23.0,20.00422429451794,19.94711524015804
24.0,20.004227026713806,19.951466369560535
25.0,20.004229633683224,19.954927712330402
26.0,20.00423212518382,19.95771071864357
27.0,20.004234509513196,19.9599733379996
28.0,20.004236794161557,19.961834177623814
29.0,20.004238985890026,19.96338286650166
30.0,20.004241090410233,19.96468748563933
31.0,20.004243113317216,19.965799980815973
32.0,20.004245059447555,19.96676027735765
33.0,20.004246935986032,19.967599540914875
34.0,20.004248739964282,19.968340904340494
35.0,20.004250479509665,19.96900327070432
36.0,20.004252161953445,19.96960153045245
37.0,20.004253784018317,19.970146834885156
38.0,20.004255349339587,19.97064838473534
39.0,20.00425686772263,19.971113512813645
40.0,20.004258332091013,19.971548271418214
41.0,20.00425975293939,19.971956634967967
42.0,20.004261123975482,19.97234277457011
43.0,20.004262452497812,19.972709603253804
44.0,20.00426374028524,19.9730595811684
45.0,20.00426499099467,19.973394795794604
46.0,20.00426620571045,19.973717331553928
47.0,20.004267385129367,19.974027743972385
48.0,20.004268533825837,19.974328015833294
49.0,20.004269650304593,19.974618438407845
50.0,20.004270732368695,19.97489984780617
51.0,20.004271786655067,19.97517300274984
52.0,20.00427280853586,19.97543858729813
53.0,20.004273799959662,19.975697402267997
54.0,20.004274777834382,19.975949867313716
55.0,20.00427572157497,19.976195891023792
56.0,20.004276636437112,19.976436105124208
57.0,20.00427753636501,19.976670933177672
58.0,20.004278416874,19.97690095445182
59.0,20.004279267008656,19.977125579732558
60.0,20.004280103027668,19.977345775499828
61.0,20.004280915033462,19.977561344774642
62.0,20.004281710520956,19.977772701536594
63.0,20.004282490984224,19.977980198919568
64.0,20.00428324603331,19.978183302219065
65.0,20.004283987971746,19.9783826829634
66.0,20.004284715460074,19.978578402640665
67.0,20.00428542230793,19.978770367364234
