,temp
0,19.770658493041992
1,19.936321258544922
2,19.97445297241211
3,19.987159729003906
4,19.992290496826172
5,19.994640350341797
6,19.995826721191406
7,19.996475219726562
8,19.99686050415039
9,19.99710464477539
10,19.997272491455078
11,19.997392654418945
12,19.997486114501953
13,19.99756622314453
14,19.997634887695312
15,19.997692108154297
16,19.997743606567383
17,19.997793197631836
18,19.997838973999023
19,19.997882843017578
20,19.997922897338867
21,19.997961044311523
22,19.997997283935547
23,19.99803352355957
24,19.998065948486328
25,19.998098373413086
26,19.998130798339844
27,19.998159408569336
28,19.998188018798828
29,19.99821662902832
30,19.998241424560547
31,19.998268127441406
32,19.998292922973633
33,19.99831771850586
34,19.998342514038086
35,19.998363494873047
36,19.99838638305664
37,19.9984073638916
38,19.998428344726562
39,19.99844741821289
40,19.99846649169922
41,19.998485565185547
42,19.998502731323242
43,19.99852180480957
44,19.998538970947266
45,19.998554229736328
46,19.998571395874023
47,19.998586654663086
48,19.99860191345215
49,19.99861717224121
50,19.998632431030273
51,19.998645782470703
52,19.998659133911133
53,19.998672485351562
54,19.998685836791992
55,19.998699188232422
56,19.99871253967285
57,19.99872398376465
58,19.998737335205078
59,19.99874496459961
60,19.99875831604004
61,19.998767852783203
62,19.998779296875
63,19.99879264831543
64,19.998802185058594
65,19.998811721801758
66,19.998821258544922
67,19.998830795288086
68,19.99884033203125
69,19.998849868774414
70,19.998859405517578
71,19.99886703491211
72,19.99887466430664
73,19.998884201049805
74,19.998891830444336
75,19.998899459838867
76,19.99890899658203
77,19.99891471862793
78,19.998924255371094
79,19.998929977416992
80,19.998939514160156
81,19.998945236206055
82,19.998950958251953
83,19.998958587646484
84,19.998966217041016
85,19.998973846435547
86,19.998979568481445
87,19.998985290527344
88,19.998991012573242
89,19.99899673461914
90,19.9965877532959
91,19.994110107421875
92,19.9915714263916
93,19.98898696899414
94,19.98636245727539
95,19.983701705932617
96,19.98101043701172
97,19.97829818725586
98,19.975566864013672
99,19.97281837463379
100,19.97005844116211
101,19.9672908782959
102,19.964515686035156
103,19.961734771728516
104,19.958955764770508
105,19.9561710357666
106,19.95339012145996
107,19.95060920715332
108,19.94782829284668
109,19.945056915283203
110,19.942283630371094
111,19.93952178955078
112,19.936763763427734
113,19.934009552001953
114,19.931262969970703
115,19.928524017333984
116,19.92579460144043
117,19.92307472229004
118,19.920360565185547
119,19.91765594482422
120,19.914960861206055
121,19.912273406982422
122,19.909595489501953
123,19.90692901611328
124,19.904272079467773
125,19.901620864868164
126,19.898983001708984
127,19.896352767944336
128,19.89373779296875
129,19.891124725341797
130,19.888526916503906
131,19.885936737060547
132,19.88335418701172
